K14n6499,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2, 2, 3, 13, 23), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 7, 11, 13, 13, 13, 23, 23, 23)): 1, (3, 6, (0, 2, 4), (0, 2, 2, 3, 4, 4, 7, 11)): 1, (4, 12, (0, 2, 2, 3), (0, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5)): 1, (4, 24, (0, 8), (0, 2, 2, 2, 2, 2, 2, 3, 4, 7, 11, 64, 256, 256)): 1, (4, 24, (0, 4, 2663), (0, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 7, 11, 2663, 2663, 2663)): 1, (3, 3, (0, 4, 4, 5, 5), (0, 4, 4, 5, 5)): 1, (2, 2, (0, 3, 7, 11), (0, 3, 7, 11)): 1, (4, 4, (0, 3, 7, 11), (0, 3, 7, 11)): 1}"
K14n6505,"{(1, 1, (0,), (0,)): 1, (3, 6, (0, 2, 4), (0, 2, 2, 3, 4, 4, 7, 11)): 1, (4, 12, (0, 2, 2, 3), (0, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5)): 1, (4, 24, (0, 8), (0, 2, 2, 2, 2, 2, 2, 3, 4, 7, 11, 64, 256, 256)): 1, (4, 24, (0, 4, 7, 401), (0, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 11, 401, 401, 401)): 1, (4, 24, (0, 2, 2, 13, 61), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 7, 11, 13, 13, 13, 61, 61, 61)): 1, (2, 2, (0, 3, 7, 11), (0, 3, 7, 11)): 1, (4, 4, (0, 3, 7, 11), (0, 3, 7, 11)): 1, (3, 3, (0, 4, 4, 5, 5), (0, 4, 4, 5, 5)): 1}"
K15a12318,"{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 9, 43), (0, 2, 2, 7, 7, 8, 8, 9, 9, 9, 13, 13, 43, 43, 43)): 1, (2, 2, (0, 883), (0, 883)): 1, (3, 3, (0, 2, 2, 7, 7, 13, 13), (0, 2, 2, 7, 7, 13, 13)): 1, (4, 4, (0, 13, 13, 883), (0, 13, 13, 883)): 1}"
K15a48525,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 883), (0, 883)): 1, (3, 3, (0, 2, 2, 7, 7, 13, 13), (0, 2, 2, 7, 7, 13, 13)): 1, (4, 4, (0, 13, 13, 883), (0, 13, 13, 883)): 1, (4, 12, (0, 2, 2, 9, 43), (0, 2, 2, 7, 7, 8, 8, 9, 9, 9, 13, 13, 43, 43, 43)): 1}"
K14a1146,"{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 7), (0, 2, 2, 4, 4, 4, 4, 7, 7, 7, 53, 53)): 1, (3, 3, (0, 4, 4, 53, 53), (0, 4, 4, 53, 53)): 1, (2, 2, (0, 571), (0, 571)): 1, (4, 4, (0, 53, 53, 571), (0, 53, 53, 571)): 1}"
K14a1002,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 4, 4, 53, 53), (0, 4, 4, 53, 53)): 1, (2, 2, (0, 571), (0, 571)): 1, (4, 4, (0, 53, 53, 571), (0, 53, 53, 571)): 1, (4, 12, (0, 2, 2, 7), (0, 2, 2, 4, 4, 4, 4, 7, 7, 7, 53, 53)): 1}"
K15n18666,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 59, 59), (0, 59, 59)): 1, (2, 2, (0, 307), (0, 307)): 1, (4, 4, (0, 9, 9, 307), (0, 9, 9, 307)): 1}"
K15n20800,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 59, 59), (0, 59, 59)): 1, (2, 2, (0, 307), (0, 307)): 1, (4, 4, (0, 9, 9, 307), (0, 9, 9, 307)): 1}"
K14a853,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 59), (0, 11, 59)): 1, (3, 3, (0, 139, 139), (0, 139, 139)): 1, (4, 4, (0, 11, 17, 17, 59), (0, 11, 17, 17, 59)): 1}"
K14a900,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 59), (0, 11, 59)): 1, (3, 3, (0, 139, 139), (0, 139, 139)): 1, (4, 4, (0, 11, 17, 17, 59), (0, 11, 17, 17, 59)): 1}"
