rep,covers,group
K15n121993,"[1, 1, 2, 3, 12, 14]","['K15n121993', 'K15n122995']"
K15a19609,"[1, 2, 9, 4, 24, 15]","['K15a19609', 'K15a19676']"
K15n11599,"[1, 2, 5, 2, 12, 10]","['K15n11599', 'K15n11608']"
K15n1275,"[1, 2, 5, 3, 21, 10]","['K15n1275', 'K15n1315']"
K15a61523,"[1, 1, 1, 4, 13, 10]","['K15a61523', 'K15a62423']"
K14n4290,"[1, 1, 2, 9, 38, 12]","['K14n4290', 'K14n824']"
K15n119326,"[1, 1, 1, 3, 9, 3]","['K15n119326', 'K15n119595']"
K15n10224,"[1, 1, 1, 5, 11, 8]","['K15n10224', 'K15n7778']"
K14n1640,"[1, 1, 2, 2, 6, 3]","['K14n1640', 'K14n1650']"
K15n26007,"[1, 1, 1, 2, 6, 6]","['K15n26007', 'K15n26472']"
K15a55222,"[1, 2, 5, 7, 20, 13]","['K15a55222', 'K15a55413']"
K15n44960,"[1, 1, 1, 7, 18, 10]","['K15n44960', 'K15n49575']"
K15a2439,"[1, 1, 1, 4, 6, 6]","['K15a2439', 'K15a2796']"
K15a28235,"[1, 2, 5, 2, 14, 10]","['K15a28235', 'K15a53556']"
K15n36956,"[1, 1, 1, 7, 13, 13]","['K15n36956', 'K15n37071']"
K15n5483,"[1, 2, 2, 5, 15, 13]","['K15n5483', 'K15n6031']"
K15a57024,"[1, 1, 1, 5, 5, 9]","['K15a57024', 'K15a57157']"
K15n50388,"[1, 1, 2, 3, 5, 3]","['K15n50388', 'K15n52729']"
K15n33364,"[1, 1, 1, 4, 4, 11]","['K15n33364', 'K15n33535']"
K15n14115,"[1, 1, 1, 7, 36, 9]","['K15n14115', 'K15n19662']"
K15n5234,"[1, 1, 1, 4, 12, 13]","['K15n5234', 'K15n6181']"
K15n22627,"[1, 1, 1, 6, 5, 4]","['K15n22627', 'K15n23050']"
K15a3214,"[1, 1, 1, 5, 5, 8]","['K15a3214', 'K15a3360']"
K15n72513,"[1, 1, 1, 5, 9, 8]","['K15n72513', 'K15n73057']"
K15n121830,"[1, 1, 1, 1, 3, 5]","['K15n121830', 'K15n123366']"
K15n4181,"[1, 2, 1, 4, 5, 5]","['K15n4181', 'K15n4657']"
K15n31010,"[1, 1, 2, 3, 9, 6]","['K15n31010', 'K15n32682']"
K15n121085,"[1, 1, 1, 3, 5, 2]","['K15n121085', 'K15n121658']"
K15a13670,"[1, 2, 4, 2, 12, 10]","['K15a13670', 'K15a13677']"
K15n4250,"[1, 1, 1, 1, 3, 8]","['K15n4250', 'K15n4367']"
K15n10784,"[1, 2, 9, 5, 25, 15]","['K15n10784', 'K15n10805']"
K15a57802,"[1, 1, 1, 2, 9, 6]","['K15a57802', 'K15a58661']"
K15a10181,"[1, 1, 1, 4, 6, 7]","['K15a10181', 'K15a8486']"
K15n117930,"[1, 1, 1, 5, 3, 11]","['K15n117930', 'K15n118758']"
K15n39998,"[1, 2, 5, 4, 16, 13]","['K15n39998', 'K15n40148']"
K15n1403,"[1, 1, 2, 1, 5, 8]","['K15n1403', 'K15n920']"
K13n3510,"[1, 2, 1, 3, 3, 10]","['K13n3510', 'K13n3517']"
K15n5346,"[1, 1, 2, 1, 3, 6]","['K15n5346', 'K15n6061']"
K15a807,"[1, 2, 2, 4, 8, 7]","['K15a807', 'K15a903']"
K15n25465,"[1, 1, 1, 1, 3, 5]","['K15n25465', 'K15n25760']"
K15n5984,"[1, 2, 4, 3, 12, 10]","['K15n5984', 'K15n6059']"
K14n4302,"[1, 1, 2, 2, 8, 6]","['K14n4302', 'K14n4341']"
K15n17389,"[1, 1, 1, 2, 6, 15]","['K15n17389', 'K15n29608']"
K15n31386,"[1, 2, 4, 3, 14, 13]","['K15n31386', 'K15n32672']"
K15n32071,"[1, 2, 5, 5, 21, 7]","['K15n32071', 'K15n32374']"
K15n16455,"[1, 2, 9, 2, 22, 20]","['K15n16455', 'K15n16498']"
K15a1965,"[1, 2, 4, 2, 10, 5]","['K15a1965', 'K15a2531']"
K15a55981,"[1, 2, 5, 4, 14, 2]","['K15a55981', 'K15a56233']"
K15a2383,"[1, 1, 1, 3, 3, 5]","['K15a2383', 'K15a2385']"
K14a17248,"[1, 1, 2, 5, 20, 12]","['K14a17248', 'K14a17252']"
K15n106735,"[1, 1, 1, 7, 10, 3]","['K15n106735', 'K15n58134']"
K15n33742,"[1, 1, 1, 5, 16, 9]","['K15n33742', 'K15n33843']"
K15n5231,"[1, 1, 1, 1, 1, 7]","['K15n5231', 'K15n6178']"
K15a8510,"[1, 1, 1, 4, 4, 4]","['K15a8510', 'K15a8537']"
K15a4695,"[1, 1, 1, 3, 5, 7]","['K15a4695', 'K15a5010']"
K15a14495,"[1, 2, 5, 3, 13, 15]","['K15a14495', 'K15a9628']"
K15n10263,"[1, 1, 1, 5, 15, 21]","['K15n10263', 'K15n8187']"
K14n1655,"[1, 1, 2, 5, 12, 14]","['K14n1655', 'K14n2165']"
K15n24543,"[1, 1, 1, 3, 7, 10]","['K15n24543', 'K15n27900']"
K15n123047,"[1, 1, 1, 3, 6, 5]","['K15n123047', 'K15n123264']"
K15n25667,"[1, 1, 1, 4, 4, 3]","['K15n25667', 'K15n25964']"
K15n10289,"[1, 1, 1, 1, 1, 4]","['K15n10289', 'K15n8672']"
K15a1810,"[1, 1, 2, 1, 7, 6]","['K15a1810', 'K15a2744']"
K15n7041,"[1, 1, 1, 3, 5, 9]","['K15n7041', 'K15n9528']"
K15n118859,"[1, 1, 1, 5, 17, 8]","['K15n118859', 'K15n118873']"
K15n21917,"[1, 1, 2, 4, 24, 20]","['K15n21917', 'K15n29544']"
K14a1509,"[1, 1, 2, 1, 5, 14]","['K14a1509', 'K14a742']"
K15n121846,"[1, 1, 1, 6, 6, 10]","['K15n121846', 'K15n121893']"
K15n120467,"[1, 1, 1, 5, 4, 7]","['K15n120467', 'K15n123967']"
K15a59401,"[1, 1, 1, 4, 8, 13]","['K15a59401', 'K15a59411']"
K15n10704,"[1, 2, 9, 2, 21, 14]","['K15n10704', 'K15n7413']"
K15n10802,"[1, 2, 9, 2, 21, 15]","['K15n10802', 'K15n7342']"
K15n11737,"[1, 2, 9, 4, 31, 10]","['K15n11737', 'K15n12239']"
K15n8452,"[1, 1, 1, 7, 12, 5]","['K15n8452', 'K15n8473']"
K15n120455,"[1, 1, 1, 3, 6, 14]","['K15n120455', 'K15n120509']"
K15a10180,"[1, 1, 1, 1, 5, 12]","['K15a10180', 'K15a8487']"
K15n1260,"[1, 1, 2, 3, 7, 9]","['K15n1260', 'K15n361']"
K15n25319,"[1, 2, 5, 4, 18, 8]","['K15n25319', 'K15n26372']"
K15n120848,"[1, 1, 1, 5, 8, 10]","['K15n120848', 'K15n120881']"
K15n10803,"[1, 2, 9, 2, 22, 18]","['K15n10803', 'K15n7414']"
