rep,covers,group
K14a2596,"[1, 1, 1, 4, 8, 8]","['K14a2596', 'K14a2602']"
K15n10250,"[1, 1, 1, 3, 11, 13]","['K15n10250', 'K15n29609']"
K15n24225,"[1, 2, 5, 2, 14, 16]","['K15n24225', 'K15n26615']"
K15n123230,"[1, 1, 1, 3, 11, 6]","['K15n123230', 'K15n123269']"
K15n29813,"[1, 1, 1, 2, 6, 5]","['K15n29813', 'K15n31518']"
K14n890,"[1, 1, 1, 4, 1, 3]","['K14n890', 'K14n982']"
K15n27132,"[1, 2, 5, 14, 24, 43]","['K15n27132', 'K15n27138']"
K15n28489,"[1, 2, 5, 14, 28, 51]","['K15n28489', 'K15n28625']"
K15n28494,"[1, 2, 5, 14, 28, 44]","['K15n28494', 'K15n28630']"
K15n7341,"[1, 1, 1, 2, 2, 7]","['K15n7341', 'K15n9895']"
K14a5006,"[1, 1, 1, 6, 6, 10]","['K14a5006', 'K14a6309']"
K15a6798,"[1, 2, 4, 4, 13, 2]","['K15a6798', 'K15a7389']"
K14n5388,"[1, 5, 14, 3, 54, 15]","['K14n5388', 'K14n5587']"
K14n5217,"[1, 1, 1, 2, 4, 6]","['K14n5217', 'K14n5651']"
K15n12721,"[1, 1, 1, 2, 2, 3]","['K15n12721', 'K15n13209']"
K15a3474,"[1, 1, 1, 3, 5, 11]","['K15a3474', 'K15a4736']"
K15n10668,"[1, 1, 1, 2, 8, 10]","['K15n10668', 'K15n10696']"
K15n120966,"[1, 1, 1, 1, 3, 3]","['K15n120966', 'K15n121467']"
K15n122107,"[1, 1, 1, 1, 1, 8]","['K15n122107', 'K15n122294']"
K15n4076,"[1, 1, 2, 3, 7, 4]","['K15n4076', 'K15n4220']"
K15n134418,"[1, 2, 1, 5, 20, 23]","['K15n134418', 'K15n134428']"
K15n103298,"[1, 5, 12, 2, 38, 46]","['K15n103298', 'K15n103300']"
K15a2648,"[1, 1, 1, 3, 5, 14]","['K15a2648', 'K15a2694']"
K15n29618,"[1, 1, 1, 8, 22, 13]","['K15n29618', 'K15n9771']"
K15a75143,"[1, 1, 1, 2, 4, 6]","['K15a75143', 'K15a76311']"
K15n11403,"[1, 2, 5, 1, 13, 11]","['K15n11403', 'K15n11587']"
K15n10427,"[1, 1, 2, 5, 29, 6]","['K15n10427', 'K15n7395']"
K15a29162,"[1, 1, 1, 6, 4, 9]","['K15a29162', 'K15a53537']"
K15a30239,"[1, 1, 1, 6, 4, 8]","['K15a30239', 'K15a53539']"
K15n21012,"[1, 2, 5, 2, 22, 25]","['K15n21012', 'K15n3629']"
K15a55503,"[1, 1, 6, 4, 24, 13]","['K15a55503', 'K15a55512']"
K15n12549,"[1, 2, 5, 3, 15, 9]","['K15n12549', 'K15n12677']"
K15n40592,"[1, 1, 1, 2, 4, 14]","['K15n40592', 'K15n41251']"
K15a8243,"[1, 1, 1, 1, 1, 4]","['K15a8243', 'K15a8265']"
K14a219,"[1, 1, 1, 3, 3, 6]","['K14a219', 'K14a286']"
K15n29798,"[1, 1, 1, 2, 4, 4]","['K15n29798', 'K15n31558']"
K15n19946,"[1, 1, 1, 4, 12, 14]","['K15n19946', 'K15n37195']"
K15n115251,"[1, 1, 1, 10, 39, 21]","['K15n115251', 'K15n28184']"
K15n12491,"[1, 1, 1, 5, 2, 5]","['K15n12491', 'K15n12662']"
K15a55194,"[1, 2, 5, 3, 17, 18]","['K15a55194', 'K15a55526']"
K15a56570,"[1, 2, 4, 6, 16, 11]","['K15a56570', 'K15a59242']"
K15n44798,"[1, 1, 2, 5, 9, 2]","['K15n44798', 'K15n46235']"
K15n19936,"[1, 1, 1, 1, 13, 34]","['K15n19936', 'K15n8149']"
K14n5160,"[1, 1, 1, 3, 5, 11]","['K14n5160', 'K14n5443']"
K15n78684,"[1, 5, 11, 11, 60, 51]","['K15n78684', 'K15n78688']"
K15n19941,"[1, 1, 1, 4, 4, 26]","['K15n19941', 'K15n8144']"
K15n86598,"[1, 2, 6, 6, 33, 21]","['K15n86598', 'K15n90992']"
K15n22495,"[1, 1, 1, 1, 3, 8]","['K15n22495', 'K15n22498']"
K15a163,"[1, 1, 2, 2, 8, 7]","['K15a163', 'K15a309', 'K15a83']"
K15n28711,"[1, 2, 5, 13, 28, 50]","['K15n28711', 'K15n28740']"
K15a55281,"[1, 1, 1, 1, 1, 6]","['K15a55281', 'K15a55437']"
K15n123705,"[1, 1, 2, 7, 17, 11]","['K15n123705', 'K15n123780']"
K15a10225,"[1, 2, 1, 4, 8, 13]","['K15a10225', 'K15a10228']"
K15a15810,"[1, 2, 9, 3, 20, 16]","['K15a15810', 'K15a15830']"
K15n3909,"[1, 1, 1, 4, 2, 3]","['K15n3909', 'K15n3952']"
K15n8512,"[1, 2, 5, 6, 20, 13]","['K15n8512', 'K15n9173']"
K15n122391,"[1, 1, 1, 2, 4, 4]","['K15n122391', 'K15n122503']"
K15n7741,"[1, 1, 2, 2, 3, 9]","['K15n7741', 'K15n7861']"
K15n15414,"[1, 1, 1, 12, 14, 2]","['K15n15414', 'K15n17095']"
K15a57513,"[1, 1, 2, 10, 14, 9]","['K15a57513', 'K15a59307', 'K15a59382']"
K15a31553,"[1, 2, 5, 7, 26, 12]","['K15a31553', 'K15a53544']"
K15n10082,"[1, 1, 1, 2, 4, 12]","['K15n10082', 'K15n8105']"
K15n95530,"[1, 2, 4, 2, 12, 9]","['K15n95530', 'K15n95562']"
K15n21489,"[1, 1, 1, 3, 3, 5]","['K15n21489', 'K15n21717']"
K14n6094,"[1, 1, 2, 9, 12, 9]","['K14n6094', 'K14n6289']"
K15a142,"[1, 1, 1, 6, 10, 5]","['K15a142', 'K15a277']"
K15n11067,"[1, 1, 2, 3, 5, 7]","['K15n11067', 'K15n6446']"
K15n34923,"[1, 1, 1, 2, 8, 6]","['K15n34923', 'K15n35056']"
K15n10757,"[1, 2, 5, 5, 23, 22]","['K15n10757', 'K15n6784']"
K15a505,"[1, 1, 2, 3, 7, 5]","['K15a505', 'K15a909']"
K15n17472,"[1, 1, 1, 3, 3, 3]","['K15n17472', 'K15n19204']"
K15n113051,"[1, 1, 1, 5, 7, 7]","['K15n113051', 'K15n115611']"
K15n7599,"[1, 2, 4, 1, 11, 9]","['K15n7599', 'K15n9890']"
K15n21838,"[1, 2, 5, 2, 14, 13]","['K15n21838', 'K15n29436']"
K15n29462,"[1, 2, 5, 2, 14, 15]","['K15n29462', 'K15n29468']"
K15a55198,"[1, 1, 1, 5, 17, 9]","['K15a55198', 'K15a55496']"
K15a55184,"[1, 1, 1, 4, 14, 10]","['K15a55184', 'K15a55509']"
K15a13587,"[1, 2, 5, 1, 15, 18]","['K15a13587', 'K15a26208']"
K15n14888,"[1, 1, 1, 3, 5, 11]","['K15n14888', 'K15n20159', 'K15n33567']"
K15n3489,"[1, 1, 2, 3, 9, 11]","['K15n3489', 'K15n5693']"
K15n13458,"[1, 1, 1, 3, 5, 11]","['K15n13458', 'K15n13657']"
K15n8242,"[1, 1, 1, 12, 20, 12]","['K15n8242', 'K15n9850']"
K15a2640,"[1, 2, 5, 4, 16, 12]","['K15a2640', 'K15a2657']"
K15a55337,"[1, 1, 1, 3, 5, 7]","['K15a55337', 'K15a55369']"
K15a10002,"[1, 1, 2, 9, 40, 51]","['K15a10002', 'K15a893']"
K15n7360,"[1, 1, 1, 2, 3, 11]","['K15n7360', 'K15n7667']"
K15a2808,"[1, 1, 2, 2, 8, 7]","['K15a2808', 'K15a5547']"
K14a11856,"[1, 1, 1, 2, 6, 6]","['K14a11856', 'K14a5892']"
K15n280,"[1, 1, 2, 2, 11, 7]","['K15n280', 'K15n301']"
K15a55376,"[1, 1, 1, 1, 3, 8]","['K15a55376', 'K15a55539']"
K15n117966,"[1, 1, 2, 5, 18, 20]","['K15n117966', 'K15n118876']"
K15a2302,"[1, 2, 5, 3, 14, 8]","['K15a2302', 'K15a2726']"
K15a38413,"[1, 2, 5, 4, 28, 37]","['K15a38413', 'K15a38415']"
K15n18846,"[1, 1, 1, 1, 3, 4]","['K15n18846', 'K15n20698']"
K15n8817,"[1, 1, 1, 4, 2, 8]","['K15n8817', 'K15n9188']"
K15n115357,"[1, 2, 5, 2, 14, 14]","['K15n115357', 'K15n94562']"
K14n1614,"[1, 1, 1, 1, 3, 5]","['K14n1614', 'K14n2102']"
K14n2011,"[1, 1, 2, 4, 4, 4]","['K14n2011', 'K14n553']"
K14a149,"[1, 1, 1, 6, 7, 7]","['K14a149', 'K14a191']"
K15n30631,"[1, 2, 5, 5, 13, 10]","['K15n30631', 'K15n30713']"
K15n14015,"[1, 1, 1, 4, 6, 7]","['K15n14015', 'K15n16124']"
K15n113355,"[1, 1, 1, 2, 3, 15]","['K15n113355', 'K15n115742']"
K15n109385,"[1, 1, 2, 3, 7, 9]","['K15n109385', 'K15n71832']"
K15n15871,"[1, 1, 1, 4, 5, 7]","['K15n15871', 'K15n18370']"
K15a18808,"[1, 1, 1, 1, 5, 5]","['K15a18808', 'K15a18824']"
K15n31442,"[1, 2, 4, 1, 11, 6]","['K15n31442', 'K15n31967']"
K14n3689,"[1, 1, 2, 2, 6, 4]","['K14n3689', 'K14n3926']"
K15a57786,"[1, 2, 4, 2, 14, 3]","['K15a57786', 'K15a59058']"
K15n24281,"[1, 1, 1, 2, 6, 9]","['K15n24281', 'K15n25211']"
K15n34923,"[1, 1, 1, 2, 8, 6]","['K15n34923', 'K15n35056']"
K15n21055,"[1, 1, 2, 8, 14, 9]","['K15n21055', 'K15n21206']"
K15n10449,"[1, 1, 1, 5, 9, 13]","['K15n10449', 'K15n6541']"
K15n119324,"[1, 2, 4, 2, 14, 7]","['K15n119324', 'K15n119593']"
K15n29661,"[1, 1, 1, 5, 21, 25]","['K15n29661', 'K15n8255']"
K15n42732,"[1, 2, 5, 1, 15, 19]","['K15n42732', 'K15n48405']"
K15n120953,"[1, 2, 5, 4, 18, 7]","['K15n120953', 'K15n121496']"
K15n121996,"[1, 2, 1, 5, 11, 11]","['K15n121996', 'K15n122018']"
K15a19892,"[1, 2, 9, 3, 29, 22]","['K15a19892', 'K15a19895']"
K15n25570,"[1, 1, 1, 4, 4, 6]","['K15n25570', 'K15n26410']"
K15a3458,"[1, 2, 5, 6, 23, 21]","['K15a3458', 'K15a3478']"
K15a3816,"[1, 2, 5, 8, 20, 14]","['K15a3816', 'K15a5007']"
K15a56482,"[1, 1, 2, 9, 13, 9]","['K15a56482', 'K15a59484']"
K15a4785,"[1, 1, 1, 2, 3, 9]","['K15a4785', 'K15a5103']"
K15a13,"[1, 1, 1, 3, 3, 1]","['K15a13', 'K15a15']"
K15n51924,"[1, 1, 2, 9, 11, 11]","['K15n51924', 'K15n52317']"
K15n4147,"[1, 2, 4, 3, 11, 3]","['K15n4147', 'K15n4435']"
K15a3594,"[1, 1, 1, 3, 7, 8]","['K15a3594', 'K15a5087']"
K15n72490,"[1, 2, 5, 4, 17, 10]","['K15n72490', 'K15n72495']"
K15n20637,"[1, 1, 2, 2, 6, 13]","['K15n20637', 'K15n3527']"
K15a59401,"[1, 1, 1, 4, 8, 13]","['K15a59401', 'K15a59411']"
K14a2449,"[1, 2, 5, 6, 48, 24]","['K14a2449', 'K14a9692']"
K15n125632,"[1, 1, 2, 4, 6, 10]","['K15n125632', 'K15n125722']"
K15a27859,"[1, 1, 1, 1, 3, 7]","['K15a27859', 'K15a53560']"
K15n22983,"[1, 1, 1, 5, 3, 3]","['K15n22983', 'K15n23273']"
K15n79567,"[1, 2, 2, 5, 26, 11]","['K15n79567', 'K15n79568']"
K15n4349,"[1, 2, 2, 4, 10, 9]","['K15n4349', 'K15n4353']"
K15a75143,"[1, 1, 1, 2, 4, 6]","['K15a75143', 'K15a76311']"
K15n11096,"[1, 1, 1, 4, 10, 7]","['K15n11096', 'K15n6463']"
K14n315,"[1, 1, 2, 1, 7, 6]","['K14n315', 'K14n98']"
K15a2835,"[1, 1, 1, 4, 2, 6]","['K15a2835', 'K15a5572']"
K15a18785,"[1, 1, 1, 1, 3, 2]","['K15a18785', 'K15a18833']"
K15n32529,"[1, 2, 5, 4, 20, 14]","['K15n32529', 'K15n32534']"
K15a7959,"[1, 2, 5, 5, 18, 10]","['K15a7959', 'K15a8193']"
K15a31553,"[1, 2, 5, 7, 26, 12]","['K15a31553', 'K15a53544']"
K15n16666,"[1, 2, 1, 1, 3, 8]","['K15n16666', 'K15n16985']"
K15a51090,"[1, 1, 1, 9, 11, 8]","['K15a51090', 'K15a54438']"
K15n15474,"[1, 1, 2, 5, 8, 5]","['K15n15474', 'K15n19470']"
K15n10199,"[1, 1, 1, 2, 8, 6]","['K15n10199', 'K15n9785']"
K15a16328,"[1, 2, 5, 5, 19, 23]","['K15a16328', 'K15a16504']"
K15n28910,"[1, 1, 1, 4, 4, 6]","['K15n28910', 'K15n29308']"
K15n122175,"[1, 1, 1, 5, 4, 5]","['K15n122175', 'K15n122226']"
K15n33180,"[1, 1, 1, 3, 1, 6]","['K15n33180', 'K15n33186']"
K15n123719,"[1, 1, 1, 4, 8, 8]","['K15n123719', 'K15n123720']"
K15a58371,"[1, 1, 2, 4, 4, 6]","['K15a58371', 'K15a59195']"
K15n81966,"[1, 1, 1, 3, 1, 6]","['K15n81966', 'K15n82122']"
K15a11920,"[1, 1, 1, 3, 9, 5]","['K15a11920', 'K15a11931']"
K15n8679,"[1, 1, 1, 1, 5, 5]","['K15n8679', 'K15n9275']"
K15a6503,"[1, 2, 2, 6, 19, 10]","['K15a6503', 'K15a7093']"
K15a59509,"[1, 1, 2, 4, 4, 4]","['K15a59509', 'K15a59512']"
K15n24664,"[1, 1, 1, 3, 3, 7]","['K15n24664', 'K15n28458']"
K15a11841,"[1, 1, 1, 1, 1, 7]","['K15a11841', 'K15a11895']"
K15n120644,"[1, 1, 2, 7, 9, 10]","['K15n120644', 'K15n123180']"
K14n11827,"[1, 1, 1, 6, 4, 7]","['K14n11827', 'K14n11832']"
K15n121753,"[1, 1, 2, 2, 6, 6]","['K15n121753', 'K15n121762']"
K15n16760,"[1, 1, 2, 4, 8, 5]","['K15n16760', 'K15n17081']"
K15a58267,"[1, 1, 1, 2, 2, 4]","['K15a58267', 'K15a58400']"
K15n1093,"[1, 1, 1, 2, 6, 8]","['K15n1093', 'K15n1132']"
K15n101947,"[1, 1, 1, 3, 7, 11]","['K15n101947', 'K15n101961']"
K15a64529,"[1, 1, 1, 5, 5, 14]","['K15a64529', 'K15a64561']"
K15a1766,"[1, 1, 1, 2, 6, 10]","['K15a1766', 'K15a1774']"
K15n17298,"[1, 1, 1, 1, 11, 5]","['K15n17298', 'K15n18004']"
K15n25200,"[1, 1, 1, 2, 4, 6]","['K15n25200', 'K15n26237']"
K15a2741,"[1, 1, 2, 1, 3, 5]","['K15a2741', 'K15a2799']"
K15n124439,"[1, 1, 1, 2, 10, 9]","['K15n124439', 'K15n124455']"
K14a510,"[1, 1, 2, 6, 14, 12]","['K14a510', 'K14a723']"
K15n5804,"[1, 2, 4, 6, 13, 5]","['K15n5804', 'K15n5937']"
K15a60695,"[1, 2, 5, 2, 14, 13]","['K15a60695', 'K15a62910']"
K15n118579,"[1, 1, 1, 5, 11, 6]","['K15n118579', 'K15n118645']"
K15n14066,"[1, 1, 1, 2, 6, 1]","['K15n14066', 'K15n19628']"
K15n23856,"[1, 1, 2, 4, 8, 20]","['K15n23856', 'K15n26888']"
K15n10299,"[1, 5, 18, 18, 118, 309]","['K15n10299', 'K15n8129']"
K14n6083,"[1, 1, 2, 2, 4, 3]","['K14n6083', 'K14n6220']"
K15a2764,"[1, 2, 5, 2, 18, 17]","['K15a2764', 'K15a2766']"
K14n2011,"[1, 1, 2, 4, 4, 4]","['K14n2011', 'K14n553']"
K15n246,"[1, 1, 2, 4, 10, 6]","['K15n246', 'K15n7']"
K15n7856,"[1, 2, 4, 2, 12, 10]","['K15n7856', 'K15n9976']"
K15n24719,"[1, 2, 5, 6, 16, 11]","['K15n24719', 'K15n27672']"
K15a55582,"[1, 1, 2, 3, 13, 17]","['K15a55582', 'K15a59433']"
K15n10223,"[1, 1, 2, 4, 4, 7]","['K15n10223', 'K15n7776']"
K15n58278,"[1, 2, 9, 2, 20, 17]","['K15n58278', 'K15n70710']"
K15n17257,"[1, 2, 1, 2, 14, 7]","['K15n17257', 'K15n18780']"
K15n14858,"[1, 1, 1, 4, 2, 8]","['K15n14858', 'K15n33405']"
K15n23983,"[1, 1, 1, 3, 7, 4]","['K15n23983', 'K15n28403']"
K15n10209,"[1, 2, 5, 4, 14, 8]","['K15n10209', 'K15n10298']"
K15n8128,"[1, 2, 5, 4, 14, 9]","['K15n8128', 'K15n8161']"
K15n10041,"[1, 1, 1, 2, 6, 3]","['K15n10041', 'K15n7854']"
K15a6524,"[1, 1, 1, 1, 1, 5]","['K15a6524', 'K15a7358']"
K15a3490,"[1, 1, 1, 3, 7, 12]","['K15a3490', 'K15a4278']"
K15a54045,"[1, 2, 5, 2, 14, 6]","['K15a54045', 'K15a54867']"
K15a55562,"[1, 1, 1, 3, 5, 4]","['K15a55562', 'K15a59417']"
K15n31440,"[1, 2, 4, 3, 13, 5]","['K15n31440', 'K15n31965']"
K14n15021,"[1, 5, 8, 8, 34, 29]","['K14n15021', 'K14n15091']"
K15n6404,"[1, 1, 1, 2, 2, 7]","['K15n6404', 'K15n6406']"
K15a55175,"[1, 1, 1, 2, 5, 14]","['K15a55175', 'K15a55507']"
K15n25199,"[1, 1, 1, 1, 3, 2]","['K15n25199', 'K15n25251']"
K15a58304,"[1, 1, 1, 3, 9, 4]","['K15a58304', 'K15a59145']"
K15n1965,"[1, 2, 2, 3, 13, 12]","['K15n1965', 'K15n2273']"
K15n27457,"[1, 1, 1, 1, 13, 17]","['K15n27457', 'K15n28189']"
K15n1029,"[1, 1, 2, 5, 7, 6]","['K15n1029', 'K15n903']"
K14a104,"[1, 1, 1, 3, 5, 6]","['K14a104', 'K14a77']"
K15a18782,"[1, 2, 2, 3, 7, 8]","['K15a18782', 'K15a18831']"
K15n13966,"[1, 1, 1, 4, 10, 5]","['K15n13966', 'K15n19624', 'K15n19651']"
K15n28042,"[1, 1, 1, 2, 4, 37]","['K15n28042', 'K15n38330']"
K15n10638,"[1, 1, 1, 1, 5, 5]","['K15n10638', 'K15n10676']"
K15n15667,"[1, 1, 1, 8, 7, 6]","['K15n15667', 'K15n18032']"
K15n120643,"[1, 2, 9, 3, 26, 12]","['K15n120643', 'K15n123179']"
K15n118859,"[1, 1, 1, 5, 17, 8]","['K15n118859', 'K15n118873']"
K15n7160,"[1, 1, 1, 6, 8, 15]","['K15n7160', 'K15n7943']"
K15a56682,"[1, 1, 1, 5, 15, 8]","['K15a56682', 'K15a56847']"
K14a2062,"[1, 1, 2, 1, 3, 4]","['K14a2062', 'K14a2077']"
K15a58284,"[1, 1, 1, 2, 4, 5]","['K15a58284', 'K15a59104']"
K15a12555,"[1, 5, 12, 4, 35, 32]","['K15a12555', 'K15a12558']"
K14n1565,"[1, 2, 5, 6, 24, 13]","['K14n1565', 'K14n1658']"
K15a15793,"[1, 1, 2, 4, 7, 4]","['K15a15793', 'K15a15828']"
K15a45975,"[1, 2, 5, 8, 41, 32]","['K15a45975', 'K15a48904']"
K15n29648,"[1, 1, 1, 2, 14, 19]","['K15n29648', 'K15n9314']"
K15n106938,"[1, 1, 1, 6, 9, 4]","['K15n106938', 'K15n70477']"
K15a19192,"[1, 1, 1, 4, 10, 7]","['K15a19192', 'K15a21681']"
K15a19201,"[1, 1, 1, 4, 10, 9]","['K15a19201', 'K15a21677']"
K15n620,"[1, 1, 1, 3, 3, 8]","['K15n620', 'K15n685']"
K15a1784,"[1, 1, 1, 2, 5, 7]","['K15a1784', 'K15a2669']"
K15n76260,"[1, 2, 2, 4, 8, 6]","['K15n76260', 'K15n76328']"
K15a633,"[1, 1, 2, 4, 7, 4]","['K15a633', 'K15a810']"
K15n1236,"[1, 1, 2, 3, 10, 11]","['K15n1236', 'K15n949']"
K15a56533,"[1, 1, 1, 1, 5, 5]","['K15a56533', 'K15a58786']"
K15n29264,"[1, 1, 1, 4, 2, 6]","['K15n29264', 'K15n29270']"
K14a12993,"[1, 1, 2, 3, 5, 5]","['K14a12993', 'K14a13045']"
K15n10793,"[1, 1, 2, 2, 9, 7]","['K15n10793', 'K15n6788']"
K14n3366,"[1, 1, 2, 5, 9, 6]","['K14n3366', 'K14n4013']"
K15n120804,"[1, 1, 1, 4, 4, 9]","['K15n120804', 'K15n121294']"
K15n120838,"[1, 1, 1, 4, 4, 7]","['K15n120838', 'K15n121159']"
K14a2409,"[1, 2, 5, 6, 46, 23]","['K14a2409', 'K14a2447']"
K15n5718,"[1, 2, 5, 3, 23, 9]","['K15n5718', 'K15n6041']"
K15n12609,"[1, 1, 1, 2, 4, 8]","['K15n12609', 'K15n13393']"
K15n109818,"[1, 1, 1, 2, 6, 7]","['K15n109818', 'K15n109905']"
K15a16180,"[1, 2, 2, 3, 12, 4]","['K15a16180', 'K15a18412']"
K15a61046,"[1, 2, 2, 3, 10, 8]","['K15a61046', 'K15a64630']"
K15n19544,"[1, 1, 2, 1, 3, 4]","['K15n19544', 'K15n20013']"
K15n22164,"[1, 1, 1, 2, 4, 12]","['K15n22164', 'K15n22929']"
K15a59148,"[1, 1, 1, 3, 5, 9]","['K15a59148', 'K15a59174']"
K15n10884,"[1, 2, 5, 2, 18, 10]","['K15n10884', 'K15n8302']"
K15a2126,"[1, 2, 5, 5, 19, 9]","['K15a2126', 'K15a2325']"
K15n50763,"[1, 1, 1, 3, 4, 11]","['K15n50763', 'K15n50803']"
K13a573,"[1, 2, 4, 2, 10, 6]","['K13a573', 'K13a593']"
K15n29125,"[1, 1, 2, 2, 6, 3]","['K15n29125', 'K15n29344']"
K14n13140,"[1, 1, 1, 3, 3, 5]","['K14n13140', 'K14n18885']"
K15n11678,"[1, 1, 1, 6, 8, 3]","['K15n11678', 'K15n11818']"
K15a63531,"[1, 2, 1, 5, 9, 12]","['K15a63531', 'K15a63533']"
K15a2129,"[1, 2, 5, 2, 18, 11]","['K15a2129', 'K15a2625']"
K15n158159,"[1, 1, 1, 4, 10, 9]","['K15n158159', 'K15n161815']"
K15a18887,"[1, 1, 2, 3, 11, 10]","['K15a18887', 'K15a24741']"
K15a4425,"[1, 1, 1, 3, 1, 6]","['K15a4425', 'K15a4569']"
K15n22240,"[1, 1, 1, 5, 5, 8]","['K15n22240', 'K15n22529']"
K15n2327,"[1, 1, 2, 7, 9, 9]","['K15n2327', 'K15n2993']"
K15n15065,"[1, 1, 1, 1, 7, 3]","['K15n15065', 'K15n17994']"
K15a8582,"[1, 2, 9, 4, 36, 43]","['K15a8582', 'K15a8591']"
K15a52921,"[1, 1, 2, 3, 7, 7]","['K15a52921', 'K15a53367']"
K15a5424,"[1, 1, 2, 3, 10, 3]","['K15a5424', 'K15a5448']"
K15n21466,"[1, 1, 1, 3, 3, 9]","['K15n21466', 'K15n21759']"
K15n9857,"[1, 1, 2, 3, 17, 6]","['K15n9857', 'K15n9940']"
K15a59097,"[1, 1, 1, 5, 13, 5]","['K15a59097', 'K15a59119']"
K15n7636,"[1, 1, 1, 4, 14, 7]","['K15n7636', 'K15n8036']"
K15n114728,"[1, 1, 1, 2, 6, 6]","['K15n114728', 'K15n114809']"
K15n9313,"[1, 1, 1, 1, 7, 13]","['K15n9313', 'K15n9372']"
K15n118975,"[1, 1, 1, 6, 10, 10]","['K15n118975', 'K15n123808']"
K15n11009,"[1, 1, 2, 1, 3, 4]","['K15n11009', 'K15n6574']"
K15a1262,"[1, 2, 1, 3, 7, 6]","['K15a1262', 'K15a1267']"
K15n106846,"[1, 1, 2, 1, 5, 8]","['K15n106846', 'K15n107914']"
K15a2589,"[1, 1, 1, 4, 10, 21]","['K15a2589', 'K15a4846']"
K15n75086,"[1, 2, 1, 5, 16, 14]","['K15n75086', 'K15n75224']"
K15a37817,"[1, 1, 1, 1, 1, 2]","['K15a37817', 'K15a38248']"
K15n7057,"[1, 1, 1, 4, 6, 9]","['K15n7057', 'K15n9542']"
K15a5526,"[1, 1, 1, 1, 5, 3]","['K15a5526', 'K15a7475']"
K15n33213,"[1, 2, 1, 2, 16, 13]","['K15n33213', 'K15n33216']"
K14n18850,"[1, 1, 2, 2, 10, 8]","['K14n18850', 'K14n8157']"
K15n25438,"[1, 1, 1, 2, 4, 17]","['K15n25438', 'K15n25491']"
K14n2926,"[1, 1, 1, 6, 6, 9]","['K14n2926', 'K14n3510']"
K15n50753,"[1, 1, 1, 1, 1, 12]","['K15n50753', 'K15n50797']"
K15a58949,"[1, 1, 1, 6, 4, 8]","['K15a58949', 'K15a59031']"
K15n33748,"[1, 2, 5, 2, 12, 9]","['K15n33748', 'K15n33763']"
K15n117874,"[1, 1, 1, 8, 10, 14]","['K15n117874', 'K15n118850']"
K15a508,"[1, 1, 2, 4, 6, 4]","['K15a508', 'K15a811']"
K15n25751,"[1, 1, 1, 1, 5, 7]","['K15n25751', 'K15n27591']"
K15n78680,"[1, 5, 11, 8, 61, 40]","['K15n78680', 'K15n79226']"
K15n162939,"[1, 1, 1, 2, 4, 5]","['K15n162939', 'K15n166930']"
K15n19717,"[1, 1, 2, 2, 10, 6]","['K15n19717', 'K15n19738']"
K15n17388,"[1, 1, 1, 2, 8, 9]","['K15n17388', 'K15n29615']"
K15n123928,"[1, 1, 1, 7, 12, 11]","['K15n123928', 'K15n123983']"
K15n10117,"[1, 1, 1, 3, 4, 7]","['K15n10117', 'K15n7458']"
K15a2853,"[1, 1, 2, 1, 5, 8]","['K15a2853', 'K15a3040']"
K15a60698,"[1, 1, 1, 5, 10, 17]","['K15a60698', 'K15a60711']"
K15a62343,"[1, 1, 1, 5, 12, 17]","['K15a62343', 'K15a62927']"
K15a8300,"[1, 1, 2, 11, 40, 48]","['K15a8300', 'K15a906']"
K14a1843,"[1, 1, 2, 3, 5, 3]","['K14a1843', 'K14a1844']"
K15a2764,"[1, 2, 5, 2, 18, 17]","['K15a2764', 'K15a2766']"
K15n45013,"[1, 5, 12, 3, 37, 40]","['K15n45013', 'K15n45014']"
K15n10139,"[1, 1, 1, 3, 5, 8]","['K15n10139', 'K15n8032']"
K15n24105,"[1, 1, 1, 5, 3, 4]","['K15n24105', 'K15n25602']"
K15a528,"[1, 1, 2, 3, 10, 11]","['K15a528', 'K15a835']"
K15n11923,"[1, 2, 2, 13, 37, 92]","['K15n11923', 'K15n11924']"
K15n6198,"[1, 1, 2, 6, 12, 13]","['K15n6198', 'K15n6284']"
K15n21596,"[1, 1, 2, 8, 10, 9]","['K15n21596', 'K15n21724']"
K15a58353,"[1, 2, 5, 5, 13, 9]","['K15a58353', 'K15a59114']"
K15n11108,"[1, 2, 5, 5, 37, 17]","['K15n11108', 'K15n6668']"
K15a56524,"[1, 1, 1, 5, 5, 7]","['K15a56524', 'K15a59239', 'K15a59266']"
K15a10511,"[1, 1, 1, 2, 4, 5]","['K15a10511', 'K15a10658']"
K15a60710,"[1, 1, 1, 5, 7, 11]","['K15a60710', 'K15a62911']"
K15n123374,"[1, 2, 5, 6, 16, 14]","['K15n123374', 'K15n123407']"
K15n16749,"[1, 1, 2, 4, 9, 9]","['K15n16749', 'K15n17036']"
K15n123821,"[1, 1, 1, 8, 11, 14]","['K15n123821', 'K15n123883']"
K15n9754,"[1, 1, 1, 4, 6, 8]","['K15n9754', 'K15n9966']"
K15n102576,"[1, 2, 5, 3, 12, 10]","['K15n102576', 'K15n57648']"
K15n120623,"[1, 1, 1, 5, 3, 7]","['K15n120623', 'K15n123588']"
K15n26200,"[1, 2, 5, 1, 15, 10]","['K15n26200', 'K15n30755']"
K15a55349,"[1, 1, 1, 3, 2, 7]","['K15a55349', 'K15a55394']"
