K15n4559,"[1, 1, 2, 3, 5, 10]",['K15n4559']
K15n123944,"[1, 2, 4, 6, 17, 9]",['K15n123944']
K15n123974,"[1, 2, 4, 6, 17, 6]",['K15n123974']
K15n80484,"[1, 2, 2, 4, 12, 12]",['K15n80484']
K15n80485,"[1, 2, 2, 4, 12, 14]",['K15n80485']
K15a56248,"[1, 2, 4, 1, 9, 11]",['K15a56248']
K15a56436,"[1, 2, 4, 1, 9, 10]",['K15a56436']
K14n20137,"[1, 1, 2, 3, 11, 9]",['K14n20137']
K14n20267,"[1, 1, 2, 3, 11, 15]",['K14n20267']
K15n31126,"[1, 2, 4, 4, 12, 14]",['K15n31126']
K15n31358,"[1, 2, 4, 4, 12, 12]",['K15n31358']
K15a59403,"[1, 1, 2, 4, 10, 10]","['K15a59403', 'K15a59429']"
K15n24505,"[1, 1, 1, 3, 1, 8]",['K15n24505']
K15n24981,"[1, 1, 1, 3, 1, 7]",['K15n24981']
K15n5379,"[1, 1, 1, 6, 10, 14]",['K15n5379']
K15n6191,"[1, 1, 1, 6, 10, 18]",['K15n6191']
K14n3444,"[1, 1, 1, 3, 5, 5]",['K14n3444']
K14n3836,"[1, 1, 1, 3, 5, 3]",['K14n3836']
K15n26514,"[1, 1, 1, 1, 1, 6]",['K15n26514']
K15n27796,"[1, 1, 1, 1, 1, 7]",['K15n27796']
K14n5954,"[1, 1, 2, 3, 7, 5]",['K14n5954']
K14n6279,"[1, 1, 2, 3, 7, 4]",['K14n6279']
K15n50028,"[1, 2, 4, 7, 29, 23]",['K15n50028']
K15n50814,"[1, 2, 4, 7, 29, 25]",['K15n50814']
K15n86616,"[1, 2, 6, 2, 16, 7]",['K15n86616']
K15n90995,"[1, 2, 6, 2, 16, 8]",['K15n90995']
K15n49936,"[1, 2, 4, 8, 32, 31]","['K15n49936', 'K15n50825']"
K15a56607,"[1, 1, 1, 4, 7, 9]",['K15a56607']
K15a59238,"[1, 1, 1, 4, 7, 16]",['K15a59238']
K15n118770,"[1, 2, 9, 4, 30, 12]",['K15n118770']
K15n118796,"[1, 2, 9, 4, 30, 13]",['K15n118796']
K15n4269,"[1, 1, 1, 1, 3, 11]",['K15n4269']
K15n4328,"[1, 1, 1, 1, 3, 8]",['K15n4328']
K15a3573,"[1, 1, 1, 4, 5, 7]",['K15a3573']
K15a4356,"[1, 1, 1, 4, 5, 6]",['K15a4356']
K15a8072,"[1, 5, 1, 2, 12, 6]",['K15a8072']
K15a8276,"[1, 5, 1, 2, 12, 10]",['K15a8276']
K15a57589,"[1, 1, 1, 4, 2, 10]","['K15a57589', 'K15a59378']"
K15a59375,"[1, 1, 1, 4, 2, 4]",['K15a59375']
K15n22680,"[1, 1, 1, 2, 2, 7]",['K15n22680']
K15n23093,"[1, 1, 1, 2, 2, 4]",['K15n23093']
