name,crossings,alexander_polynomial,matched_name
19nh_009061713,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009061714,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009062846,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009065042,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009065239,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009065421,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009065420,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009067356,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009067968,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009069220,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009072030,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009072029,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009072479,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009072909,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009072910,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009072959,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009073320,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009073319,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009074159,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009074642,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009074729,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009076262,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009076261,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009076599,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009077957,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009078654,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009079183,19,"{0: 2, 1: -5, 2: 2}",6_1
