name,crossings,alexander_polynomial,matched_name
17nh_0002258,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0002269,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0002282,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0002330,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0002333,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002400,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002404,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002403,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002445,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0002450,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002456,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0002455,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0002489,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0002523,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002524,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002526,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0002548,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002553,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0002573,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0002597,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0002598,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0002621,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002647,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0002686,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002703,17,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}",8_16
17nh_0002712,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0002719,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0002730,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0002751,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0002781,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0002798,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0002799,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0002797,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0002822,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0002839,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0002881,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0002894,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002895,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002906,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0002910,17,"{0: 1, 1: -4, 2: 8, 3: -11, 4: 8, 5: -4, 6: 1}",8_17
17nh_0002922,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0002923,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0002940,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0002945,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0002959,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0002958,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
