v0765,32,"(20, 32)"
v0830,19,"(12, 19)"
v0847,33,"(20, 33)"
v0912,39,"(24, 39)"
v0939,27,"(17, 27)"
v0945,43,"(27, 43)"
v0959,8,"(7, 8)"
v0960,2,2
v1063,"(1, 2)","(1, 2)"
v1077,49,"(29, 49)"
v1109,50,"(30, 50)"
v1126,"(1, 2)","(1, 2)"
v1217,3,3
v1243,4,4
v1269,21,"(13, 21)"
v1300,24,"(16, 24)"
v1348,"(2, 3)","(1, 3)"
v1359,22,"(14, 22)"
v1392,25,"(16, 25)"
v1423,19,"(13, 19)"
v1425,15,"(11, 15)"
v1434,"(2, 3)","(2, 3)"
v1547,28,"(18, 28)"
v1565,21,"(15, 21)"
v1620,24,"(16, 24)"
v1628,33,"(21, 33)"
v1690,32,"(20, 32)"
v1709,35,"(22, 35)"
v1716,29,"(19, 29)"
v1718,37,"(23, 37)"
v1728,28,"(18, 28)"
v1810,38,"(24, 38)"
v1811,"(1, 2)","(1, 2)"
v1832,31,"(20, 31)"
v1839,50,"(30, 50)"
v1915,12,"(9, 12)"
v1921,40,"(24, 40)"
v1935,3,3
v1940,42,"(26, 42)"
v1964,2,2
v1966,49,"(29, 49)"
v1971,"(0, 1)","(0, 1)"
v1980,17,"(12, 17)"
v1986,39,"(25, 39)"
v2001,"(1, 2)","(1, 2)"
v2024,42,"(26, 42)"
v2090,50,"(30, 50)"
v2166,3,"(2, 3)"
v2191,10,"(7, 10)"
v2215,30,"(20, 30)"
v2217,10,"(7, 10)"
v2257,"(0, 2)","(0, 2)"
v2272,"(0, 1)","(0, 1)"
v2284,1,1
v2290,19,"(13, 19)"
v2325,36,"(23, 36)"
v2362,0,0
v2384,10,"(8, 10)"
v2488,1,1
v2508,"(0, 1)","(0, 1)"
v2520,2,2
v2543,0,0
v2552,3,3
v2553,3,3
v2623,2,2
v2624,4,4
v2642,5,"(4, 5)"
v2743,1,1
v2759,27,"(17, 27)"
v2851,8,"(6, 8)"
v2858,2,2
v2861,"(0, 2)","(0, 2)"
v2869,1,"(0, 1)"
v2871,8,"(6, 8)"
v2888,"(4, 5)","(3, 5)"
v2894,3,3
v2900,23,"(15, 23)"
v2925,12,"(9, 12)"
v2930,30,"(20, 30)"
v3070,26,"(16, 26)"
v3081,7,"(5, 7)"
v3093,"(1, 2)","(1, 2)"
v3105,14,"(10, 14)"
v3169,1,1
v3195,0,0
v3199,7,"(5, 7)"
v3234,15,"(11, 15)"
v3310,2,2
v3320,1,1
v3335,15,"(10, 15)"
v3354,44,"(28, 44)"
v3356,8,"(6, 8)"
v3423,"(0, 2)","(0, 2)"
v3482,19,"(13, 19)"
v3505,1,1
v3536,0,0
v3541,"(1, 3)","(1, 3)"
t00017,"(0, 1)","(0, 1)"
t00027,1,1
t00110,41,"(25, 41)"
t00146,45,"(28, 45)"
t00324,20,"(14, 20)"
t00423,68,"(40, 68)"
t00434,73,"(44, 73)"
t00550,31,"(19, 31)"
t00565,1,1
t00577,1,"(0, 1)"
t00621,39,"(25, 39)"
t00729,44,"(26, 44)"
t00787,55,"(33, 55)"
t00826,64,"(38, 64)"
t00855,69,"(41, 69)"
t00873,61,"(36, 61)"
t00932,72,"(43, 72)"
t01033,43,"(27, 43)"
t01037,43,"(27, 43)"
t01039,1,1
t01125,53,"(31, 53)"
t01142,1,"(0, 1)"
t01216,57,"(33, 57)"
t01235,"(1, 3)","(1, 3)"
t01268,73,"(43, 73)"
t01292,69,"(41, 69)"
t01318,47,"(28, 47)"
t01342,3,3
t01368,53,"(32, 53)"
t01409,82,"(48, 82)"
t01422,29,"(20, 29)"
t01424,90,"(52, 90)"
t01440,34,"(24, 34)"
t01598,73,"(43, 73)"
t01636,71,"(41, 71)"
t01646,82,"(48, 82)"
