K15n20059,12.1133028326?,K15n20142,12.1133028326?
K15n31817,12.1156079419?,K15n32517,12.11560794188?
K15n22087,12.13076140916?,K15n22517,12.13076140916?
K15n30582,12.13630904198?,K15n30655,12.13630904198?
K15n12018,12.16796380934?,K15n12545,12.1679638094?
K13n2400,12.1724490527?,K13n2401,12.1724490527?
K13n1380,12.2081283990?,K13n1385,12.2081283990?
K14n2410,12.22591436178?,K14n2494,12.22591436178?
K15n52856,12.2498034200?,K15n52857,12.24980341997?
K15n25044,12.2659053418?,K15n27824,12.2659053418?
K15n5426,12.2848134361?,K15n5957,12.2848134362?
K13n1287,12.3398928592?,K13n1313,12.33989285915?
K13n1287,12.3398928592?,K13n1316,12.3398928592?
K13n1313,12.33989285915?,K13n1316,12.3398928592?
K15n41343,12.3534956556?,K15n45761,12.3534956556?
K15n53397,12.4061849755?,K15n53771,12.4061849755?
K14n1253,12.4169120638?,K14n1464,12.4169120638?
K15n32300,12.44929245569?,K15n32301,12.44929245569?
K15n32300,12.44929245569?,K15n115403,12.4492924557?
K15n32301,12.44929245569?,K15n115403,12.4492924557?
K15n41340,12.48590910710?,K15n45749,12.4859091071?
K11n71,12.4906420559?,K11n75,12.49064205582?
K14n4752,12.5755584303?,K14n4771,12.5755584303?
K15n22207,12.59497786176?,K15n23306,12.59497786176?
K15n41319,12.63666522879?,K15n45740,12.6366652288?
K14n3322,12.63814894810?,K14n3951,12.6381489481?
K14n3160,12.6482994954?,K14n4128,12.64829949538?
K15n11938,12.6619277260?,K15n12562,12.66192772603?
K15n22116,12.6703757634?,K15n23242,12.67037576335?
K15n11837,12.6775861003?,K15n11838,12.6775861003?
K15n13928,12.6799304966?,K15n15785,12.6799304966?
K12n23,12.6871918602?,K12n31,12.68719186014?
K14n16,12.68740230806?,K14n82,12.68740230806?
K15n14893,12.7092724520?,K15n15182,12.70927245200?
K15n14893,12.7092724520?,K15n33461,12.70927245200?
K15n15182,12.70927245200?,K15n33461,12.70927245200?
K15n24,12.7196023691?,K15n262,12.7196023691?
K15n24638,12.73349620165?,K15n24641,12.73349620165?
K15n5265,12.73508266780?,K15n6212,12.73508266780?
K15n30419,12.75405795891?,K15n30444,12.75405795891?
K12n124,12.7713154545?,K12n129,12.7713154545?
K13n1975,12.8144848399?,K13n2605,12.81448483982?
K13n339,12.8260221535?,K13n517,12.8260221536?
K15n5428,12.82763414762?,K15n5974,12.82763414762?
K14n2403,12.8287353284?,K14n2488,12.82873532835?
K15n33733,12.83204029748?,K15n33852,12.83204029748?
K15n24821,12.8443418391?,K15n26974,12.8443418391?
K13n607,12.84640901980?,K13n608,12.84640901979?
K14n5098,12.8622016000?,K14n5155,12.8622016000?
K15n30621,12.8825927924?,K15n30670,12.88259279234?
K15n139871,12.9029322633?,K15n143767,12.9029322634?
K13n1191,12.90918984221?,K13n1196,12.90918984221?
K14n101,12.9175979148?,K14n318,12.91759791473?
K15n8006,12.9306509429?,K15n9781,12.9306509429?
K14n1242,12.935230857?,K14n1456,12.9352308571?
K13n3812,12.95052365798?,K13n3851,12.9505236580?
K14n5389,12.95763995091?,K14n5586,12.957639951?
