knot,symmetry_group,verified,amphichiral
K15n78089,0,True,False
K13n2263,0,True,False
K15n78102,Z/2,True,False
K13n2267,Z/2,True,False
K13n2273,Z/2 + Z/2,True,False
K13n2275,0,True,False
K13n2277,Z/2,True,False
K13n2279,Z/2,True,False
K13n2280,Z/2,True,False
K13n2284,0,True,False
K13n2290,Z/2,True,False
K13n2291,Z/2,True,False
K13n2295,0,True,False
K13n2296,Z/2,True,False
K13n2297,0,True,False
K13n2300,Z/2,True,False
K15n127506,0,True,False
K15n127510,0,True,False
K15n127512,0,True,False
K15n127516,0,True,False
K15n127517,0,True,False
K15n127525,Z/2,True,False
K15n127529,Z/2,True,False
K13n2304,Z/2,True,False
K13n2311,Z/2,True,False
K13n2313,Z/2,True,False
K15n156839,0,True,False
K15n156842,0,True,False
K13n2315,Z/2,True,False
K14n6235,Z/2,True,False
K14n6240,Z/2,True,False
K14n6241,Z/2,True,False
K14n6244,0,True,False
K15n127532,0,True,False
K14n15226,0,True,False
K14n15227,0,True,False
K14n15228,0,True,False
K15n40346,0,True,False
K13n2321,Z/2,True,False
K15n156844,0,True,False
K15n78110,0,True,False
K15n78113,0,True,False
K15n127534,0,True,False
K14n15231,0,True,False
K14n24803,0,True,False
K14n24804,0,True,False
K15n107913,0,True,False
K14n24807,0,True,False
K14n24809,0,True,False
K11a91,Z/2 + Z/2,True,False
K11a93,Z/2 + Z/2,True,False
K11a96,Z/2 + Z/2,True,False
K15n40348,0,True,False
K11a98,Z/2 + Z/2,True,False
K11a103,Z/2,True,False
K11a104,Z/2,True,False
K11a106,Z/2 + Z/2,True,False
K14n24815,0,True,False
K15n40351,0,True,False
K15n40355,0,True,False
K15n40358,0,True,False
K15n40363,0,True,False
K15n40368,0,True,False
K15n107918,Z/2,True,False
K13n2322,Z/2,True,False
K13n2325,0,True,False
K14n15232,0,True,False
K14n15233,0,True,False
K14n15234,0,True,False
K14n24821,0,True,False
K14n24822,0,True,False
K15n40371,0,True,False
K14n15240,0,True,False
K15n40372,0,True,False
K14n15247,0,True,False
K13n2327,0,True,False
K13n2328,Z/2,True,False
K15n107935,0,True,False
K13n2329,0,True,False
K15n40373,0,True,False
K15n40374,0,True,False
K11a109,Z/2,True,False
K14n15249,0,True,False
K14n15250,0,True,False
K11a110,Z/2 + Z/2,True,False
K11a112,0,True,False
K11a115,0,True,False
K11a119,D4,True,False
K11a126,Z/2,True,False
K13n2330,0,True,False
K13n2331,0,True,False
K13n2332,0,True,False
K13n2333,0,True,False
K14n24827,0,True,False
K11a128,Z/2 + Z/2,True,False
K15n107936,0,True,False
K11a135,Z/2,True,False
K14n15261,0,True,False
K13n2340,0,True,False
K13n2342,0,True,False
K13n2343,0,True,False
K13n2349,Z/2,True,False
K13n2351,Z/2,True,False
K13n2359,Z/2,True,False
K15n137225,0,True,False
K15n137229,0,True,False
K11a138,0,True,False
K11a152,0,True,False
K11a153,Z/2,True,False
K11a160,Z/2,True,False
K11a164,0,True,False
K11a165,Z/2,True,False
K11a167,0,True,False
K11a168,0,True,False
K11a169,0,True,False
K14n15266,0,True,False
K13n2367,Z/2,True,False
K13n2373,Z/2,True,False
K13n2376,0,True,False
K13n2377,Z/2,True,False
K13n2381,0,True,False
K13n2383,Z/2,True,False
K13n2387,Z/2,True,False
K13n2389,Z/2,True,False
K13n2400,Z/2 + Z/2,True,False
K13n2401,Z/2,True,False
K13n2408,Z/2,True,False
K13n2411,Z/2 + Z/2,True,False
K13n2415,0,True,False
K13n2424,0,True,False
K13n2433,0,True,False
K15n127538,0,True,False
K15n78120,0,True,False
K13n2440,0,True,False
K13n2444,0,True,False
K13n2445,0,True,False
K13n2447,0,True,False
K13n2451,Z/2,True,False
K13n2454,Z/2,True,False
K13n2458,0,True,False
K13n2466,0,True,False
K13n2471,0,True,False
K13n2472,Z/2,True,False
K13n2473,0,True,False
K13n2476,0,True,False
K14n15269,0,True,False
K13n2478,0,True,False
K13n2487,Z/2,True,False
K13n2488,0,True,False
K13n2489,0,True,False
K13n2494,0,True,False
K13n2497,0,True,False
K13n2502,Z/2,True,False
K14n24830,0,True,False
K14n24837,0,True,False
K14n24845,0,True,False
K14n15272,0,True,False
K14n15274,0,True,False
K15n137230,0,True,False
K11a170,Z/2,True,False
K11a175,D4,True,False
K11a180,Z/2 + Z/2,True,False
K11a185,Z/2 + Z/2,True,False
K11a187,Z/2,True,False
K11a189,0,True,False
K11a190,Z/2 + Z/2,True,False
K11a195,Z/2 + Z/2,True,False
K11a201,Z/2,True,False
K14n24852,0,True,False
K14n24853,0,True,False
K11a209,0,True,False
K11a210,Z/2 + Z/2,True,False
K11a214,Z/2 + Z/2,True,False
K14n15275,0,True,False
K13n2505,0,True,False
K14n15277,0,True,False
K14n15282,0,True,False
K14n15285,0,True,False
K14n15297,0,True,False
K14n15298,0,True,False
K14n15300,0,True,False
K11a222,Z/2,True,False
K11a228,Z/2,True,False
K11a233,0,True,False
K11a249,Z/2,True,False
K13n2507,0,True,False
K13n2508,0,True,False
K11a251,0,True,False
K11a253,0,True,False
K11a256,0,True,False
K11a257,Z/2,True,False
K11a265,0,True,False
K14n24862,0,True,False
K13n2515,Z/2,True,False
K13n2520,0,True,False
K13n2521,0,True,False
K13n2522,0,True,False
K13n2527,Z/2 + Z/2,True,False
K13n2528,Z/2,True,False
K13n2541,0,True,False
